,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
675,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,159980,159980,15998000,3992326868,3761731163,3553499278,3975638205
676,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,170019,170019,17001900,4248785334,4231168603,4222099070,4248672469
677,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,179779,179779,17977900,4491657619,4457566356,4429722352,4491277219
678,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,190200,190200,19020000,4758770728,4540081258,4335174757,4745889539
679,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200198,200198,20019800,5001408957,4971889898,4949554670,5001152039
680,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,10021,10021,1002100,248868998.8,206604008.1,175655371.9,238998679.4
681,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,20055,20055,2005500,500641324.6,482241092.1,470499346.9,499515133.5
682,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,29910,29910,2991000,747865354.4,718920759.8,699581255.5,746324525.5
683,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,40134,40134,4013400,1002195056,844012883.3,721009114.3,971895654
684,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,50038,50038,5003800,1252883308,1222551276,1196706827,1251708814
685,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,59941,59941,5994100,1498109327,1372599173,1265545747,1484773120
686,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69863,69863,6986300,1744048861,1666328566,1600414798,1739600768
687,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,80136,80136,8013600,2003052879,1927102659,1861639141,1999275715
688,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,89782,89782,8978200,2244146140,2219867392,2203787547,2243750333
689,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,99932,99932,9993200,2495487798,2211329415,1969256132,2455482249
690,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,110156,110156,11015600,2752674984,2593810788,2456590473,2741355781
691,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120192,120192,12019200,3005252731,2554488041,2190446752,2924093978
692,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,129954,129954,12995400,3253856643,3229433879,3217406357,3253623255
