,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
84,EHP,7,3,10,3,34850,10000,200,50.0,15939.024436897009,0,0,0,0.0,0,0,0
85,EHP,10,5,15,5,36000,6800,100,68.0,11907.140714714007,1,2,2100,387.5,0,0,0
86,EKO,3,7,10,3,16600,3000,500,6.0,5617.828762075255,2,2,3100,900.0,0,0,0
87,EKO,6,9,15,6,24300,5000,300,16.666666666666668,7888.599368709251,1,2,1200,237.5,0,0,0
88,EMC,5,5,10,5,19800,10000,100,100.0,10977.249200050075,1,1,500,250.0,0,0,0
89,EMC,4,11,15,4,30000,5000,300,16.666666666666668,10239.140588936163,0,0,0,0.0,0,0,0
90,FBO,4,6,10,4,27300,8600,100,86.0,11976.226450764865,1,4,3400,18262.5,0,0,0
91,FBO,6,9,15,6,45100,7300,100,73.0,14318.17027416562,4,2,5600,4437.5,1012.5,1012.5,1012.5
92,FDX,6,4,10,4,49600,20000,600,33.333333333333336,23841.560351621283,2,2,4900,6687.5,5500.0,5000.0,6500.0
93,FDX,8,7,15,7,27200,5000,100,50.0,8528.77482408816,2,2,4500,32437.5,31037.5,27375.0,32437.5
94,FFB,4,6,10,4,35700,10100,100,101.0,16166.32302040263,1,1,1500,2062.5,2062.5,2062.5,2062.5
95,FFB,6,9,15,6,31309,6000,100,60.0,11306.917396001441,5,3,11359,32116.375,27662.5,18781.25,27662.5
96,FLP,6,4,10,4,18650,5000,300,16.666666666666668,7149.300665100049,1,2,1500,125.0,0,0,0
97,FLP,8,7,15,7,75700,25000,300,83.33333333333333,36489.03945022395,2,2,2500,187.5,0,0,0
98,FMI,8,2,10,2,36096,17000,200,85.0,20604.902717557296,1,1,200,50.0,0,0,0
99,FMI,9,6,15,6,35450,11200,200,56.0,13535.231804442803,3,2,5700,1806.25,0,0,0
100,FNM,3,7,10,3,102250,50000,150,333.3333333333333,54692.34407117691,2,1,5000,12000.0,0,0,0
101,FNM,8,7,15,7,57500,24800,300,82.66666666666667,27243.164280237346,2,6,11000,28700.0,6050.0,3750.0,8500.0
102,FOE,6,4,10,4,27600,5000,500,10.0,10056.838469419701,3,1,2500,2312.5,812.5,812.5,812.5
103,FOE,8,7,15,7,49700,10000,200,50.0,17345.02810605967,2,4,5500,4250.0,375.0,375.0,500.0
104,FPC,7,3,10,3,28035,10000,300,33.333333333333336,12223.020289601094,1,1,1000,375.0,0,0,0
105,FPC,8,7,15,7,36516,7000,150,46.666666666666664,12251.222632864035,4,3,9800,4800.0,375.0,750.0,875.0
106,FPL,1,9,10,1,147335,55900,435,128.50574712643677,74330.33852337819,1,1,6000,4500.0,0,0,0
107,FPL,5,10,15,5,155000,55900,100,559.0,68916.18097370167,3,3,12100,5637.5,75.0,62.5,112.5
108,GBE,8,2,10,2,21500,8000,150,53.333333333333336,10514.038234665119,0,0,0,0.0,0,0,0
109,GBE,12,3,15,3,61800,20000,100,200.0,25356.261554101384,1,2,1600,225.0,50.0,50.0,50.0
110,GE ,8,2,10,2,11300,5000,100,50.0,5740.209055426466,1,1,500,687.5,0,0,0
111,GE ,9,6,15,6,39600,10000,100,100.0,15863.795258386312,1,5,6700,10775.0,6875.0,6875.0,6875.0
112,GFB,0,10,10,0,18000,3000,500,6.0,6284.902544988267,0,0,0,-5.684341886080801e-13,0,0,0
113,GFB,0,15,15,0,157800,30000,1000,30.0,61973.22002284535,0,0,0,1.2505552149377763e-12,0,0,0
114,GLX,6,4,10,4,113400,40100,2500,16.04,52991.50875376167,1,2,5000,13000.0,9750.0,9750.0,9750.0
115,GLX,6,9,15,6,119275,25000,100,250.0,45060.85468563596,2,3,35000,124375.0,98125.0,71875.0,98125.0
116,GMH,4,6,10,4,6163,1100,100,11.0,2253.7011780624334,1,1,200,375.0,0,0,0
117,GMH,8,7,15,7,15137,6000,100,60.0,7200.90584579468,4,1,3000,3300.0,0,0,0
118,GPI,10,0,10,0,7500,2000,100,20.0,2958.039891549808,0,0,0,0.0,0,0,0
119,GPI,11,4,15,4,26700,7700,100,77.0,10888.06686239573,1,1,600,75.0,0,0,0
120,GRH,6,4,10,4,22800,8000,200,40.0,10688.31137270991,0,0,0,0.0,0,0,0
121,GRH,12,3,15,3,38200,8000,300,26.666666666666668,13247.64129949177,0,0,0,0.0,0,0,0
122,HAN,6,4,10,4,26370,10000,200,50.0,12789.171200668165,1,1,1000,125.0,0,0,0
123,HAN,10,5,15,5,24650,6000,100,60.0,9479.583324176227,1,3,6000,3037.5,0,0,0
124,HAT,6,4,10,4,10120,1900,120,15.833333333333334,3534.74185761846,3,2,2900,487.5,0,0,0
125,HAT,13,2,15,2,27562,6900,100,69.0,12201.001762150516,3,1,712,267.0,0,0,0
126,HE ,6,4,10,4,17100,6000,100,60.0,8013.114251026252,0,0,0,0.0,0,0,0
127,HE ,9,6,15,6,11700,3500,100,35.0,4794.788837894741,5,1,800,1025.0,0,0,0
128,HF ,6,4,10,4,19100,5000,100,50.0,7649.182962905254,3,3,6000,7687.5,6000.0,5812.5,6000.0
129,HF ,6,9,15,6,29435,5000,100,50.0,10626.769264456625,3,2,4900,5475.0,0,0,0
130,HFI,5,5,10,5,4173,1000,100,10.0,1537.7025069889169,1,3,973,1434.125,1400.0,1400.0,1400.0
131,HFI,11,4,15,4,23800,5000,100,50.0,9119.210492142398,1,1,400,0.0,0,0,0
132,HTR,5,5,10,5,82700,12000,2000,6.0,27427.905497868407,3,2,19700,5925.0,0,0,0
133,HTR,6,9,15,6,201134,99000,200,495.0,105871.31602091285,3,1,13600,2262.5,0,0,0
134,IBM,5,5,10,5,8300,3000,100,30.0,4511.097427455984,1,4,500,1475.0,1100.0,1100.0,1100.0
135,IBM,10,5,15,5,100643,50000,100,500.0,67173.75714518283,3,3,2443,10747.125,6675.0,6675.0,6675.0
136,ICM,8,2,10,2,32600,10000,200,50.0,14406.248644251564,0,0,0,0.0,0,0,0
137,ICM,11,4,15,4,33200,6000,300,20.0,11322.54388377453,0,0,0,0.0,0,0,0
138,IEI,5,5,10,5,17900,10000,100,100.0,10804.165863221464,4,1,5700,1375.0,0,0,0
139,IEI,9,6,15,6,35700,16000,100,160.0,19284.968239538277,5,3,3700,2087.5,0,0,0
140,IPT,4,6,10,4,8700,2000,500,4.0,3054.5048698602527,4,4,2600,3112.5,0,0,0
141,IPT,8,7,15,7,13100,2000,200,10.0,3902.5632602175715,4,5,3800,8612.5,0,0,0
142,IS ,8,2,10,2,117800,28000,700,40.0,51073.476482416976,2,1,1000,87.5,0,0,0
143,IS ,14,1,15,1,61900,10000,500,20.0,21004.04722904612,0,0,0,0.0,0,0,0
144,ITG,4,6,10,4,98300,44600,1000,44.6,49397.06469012101,1,2,2900,0.0,0,0,0
145,ITG,7,8,15,7,145350,44600,800,55.75,59656.78921966887,2,2,5800,82.8125,0,0,0
146,KFV,6,4,10,4,30400,10000,100,100.0,13678.45020461017,4,2,12100,9037.5,0,0,0
147,KFV,10,5,15,5,76300,25000,100,250.0,31689.90375498165,3,2,11400,5200.0,0,0,0
148,KR ,4,6,10,4,59200,25000,300,83.33333333333333,32097.351915695475,3,2,18800,5987.5,2000.0,1312.5,2187.5
149,KR ,6,9,15,6,54200,10000,100,100.0,18315.021157508938,2,2,5900,1987.5,0,0,0
150,KWD,7,3,10,3,15900,7100,100,71.0,8401.785524517987,1,1,300,1012.5,1012.5,1012.5,1012.5
151,KWD,8,7,15,7,44100,10000,200,50.0,15444.416466801198,2,3,6000,23925.0,0,0,0
152,LOG,2,8,10,2,18600,6000,200,30.0,8968.834929911465,1,1,1000,1250.0,0,0,0
153,LOG,6,9,15,6,12150,2000,100,20.0,3887.479903485033,2,6,2750,2156.25,0,0,0
154,LPX,3,7,10,3,15500,3000,500,6.0,5677.147170894903,2,1,1600,2875.0,0,0,0
155,LPX,7,8,15,7,18131,3000,100,30.0,5529.53533309988,3,2,2700,6695.625,0,0,0
